merchant_order_id,gateway_order_id,gross_amount,order_created_at,customer_reference,order_status,source_system
INV-2026-2059,order_Q2059Xz,2599.00,2026-08-25 00:23:00,CUST-3059,PAID,Shopify
INV-2026-2060,order_Q206O Xz,719.00,2026-08-25 00:32:00,CUST-3060,PAID,Shopify
INV-2026-2061,order_Q2061Xz,999.50,2026-08-25 00:41:00,CUST-3061,PAID,Shopify
INV-2026-2062,order_Q2062Xz,1699.00,2026-08-25 00:50:00,CUST-3062,PAID,Shopify
INV-2026-2063,order_Q2063Xz,2349.00,2026-08-25 00:59:00,CUST-3063,PAID,Shopify
INV-2026-2064,order_Q2064Xz,599.00,2026-08-25 01:08:00,CUST-3064,PAID,Shopify
INV-2026-2065,order_Q2065Xz,1299.00,2026-08-26 00:05:00,CUST-3065,PAID,Shopify
INV-2026-2066,order_Q2066Xz,849.50,2026-08-26 00:14:00,CUST-3066,PAID,Shopify
INV-2026-2067,order_Q2067Xz,2199.90,2026-08-26 00:23:00,CUST-3067,PAID,Shopify
INV-2026-2068,order_Q2068Xz,499.00,2026-08-26 00:32:00,CUST-3068,PAID,Shopify
INV-2026-2069,order_Q2069Xz,1649.25,2026-08-26 00:41:00,CUST-3069,PAID,Shopify
INV-2026-2070,order_Q2070Xz,2799.00,2026-08-26 00:50:00,CUST-3070,PAID,Shopify
INV-2026-2071,order_Q2071Xz,799.00,2026-08-26 00:59:00,CUST-3071,REFUNDED,Shopify
INV-2026-2072,order_Q2072Xz,3499.75,2026-08-26 01:08:00,CUST-3072,PAID,Shopify
INV-2026-2073,order_Q2073Xz,"Rs. 3,499.75",2026-08-27 00:05:00,CUST-3073,PAID,Shopify
INV-2026-2074,order_Q2074Xz,640.00,2026-08-27 00:14:00,CUST-3074,PAID,Shopify
INV-2026-2075,order_Q2075Xz,1899.00,2026-08-27 00:23:00,CUST-3075,PAID,Shopify
INV-2026-2076,order_Q2076Xz,925.50,2026-08-27 00:32:00,CUST-3076,PAID,Shopify
INV-2026-2077,order_Q2077Xz,2499.00,2026-08-27 00:41:00,CUST-3077,PAID,Shopify
INV-2026-2078,order_Q2078Xz,1399.00,2026-08-27 00:50:00,CUST-3078,PAID,Shopify
INV-2026-2079,order_Q2079Xz,2290.40,2026-08-27 00:59:00,CUST-3079,PAID,Shopify
INV-2026-2080,order_ZZZ991,559.00,2026-08-27 01:08:00,CUST-3080,PAID,Shopify
INV-2026-2081,order_Q2081Xz,N/A,2026-08-30 10:00:00,CUST-4081,PAID,Shopify
INV-2026-2082,,875.00,2026-08-30 10:10:00,CUST-4082,PAID,Shopify
INV-2026-2083,order_Q2083Xz,1299.00,2026-08-31 09:00:00,CUST-4083,CANCELLED,Shopify
INV-2026-2084,order_Q2084Xz,1599.00,2026-08-31 09:07:00,CUST-4084,PAID,Magento
