transaction_date,value_date,description,reference_number,debit,credit,balance,currency
2026-08-27,2026-08-27,NEFT CR RAZORPAY SETTLEMENT HDFCINBB202609006706,HDFCINBB202609006706,0.00,"Rs. 11,130.82",2668468.30,INR
2026-08-27,2026-08-27,NEFT CR RAZORPAY SETTLEMENT HDFCINBB202609007707,HDFCINBB202609007707,0.00,11941.82,2680410.12,INR
2026-08-27,2026-08-27,UPI CR CUSTOMER TRANSFER REF CUSTREF9912,CUSTREF9912,0.00,1250.00,2681660.12,INR
2026-08-28,2026-08-28,BANK CHARGES MONTHLY ACCOUNT MAINTENANCE,,499.00,0.00,2681161.12,INR
2026-08-30,2026-08-30,NEFT CR RAZORPAY SETTLEMENT HDFCINBB20XX0808,HDFCINBB20XX0808,0.00,11471.27,2692632.39,INR
2026-08-30,2026-08-30,NEFT CR RAZORPAY SETTLEMENT PAYOUT BATCH S009,,0.00,12845.24,2705477.63,INR
2026-08-30,2026-08-30,NEFT CR RAZORPAY SETTLEMENT UNKNOWNUTR000000,UNKNOWNUTR000000,0.00,1000.00,2706477.63,INR
2026-09-02,2026-09-02,REVERSAL RAZORPAY CREDIT REF MISSING,,0.00,750.00,2707227.63,INR
2026-09-04,2026-09-04,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026090107ZZ,HDFCINBB2026090107ZZ,0.00,10879.89,2718107.52,INR
2026-09-10,2026-09-10,NEFT CR RAZORPAY SETTLEMENT HDFCINBB2026090087XY,HDFCINBB2026090087XY,0.00,11471.27,2729578.79,INR
NOT-A-DATE,NOT-A-DATE,NEFT CR RAZORPAY SETTLEMENT BADROW999,,0.00,not-a-number,2600000.00,INR
