transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,entity_created_at,payment_captured_at,order_id,settlement_id,settled_at,settlement_utr,settled_by
payment,pay_Q2017Ab,999.00,INR,20.98,3.78,0.00,974.24,card,2026-08-20 00:05:00,2026-08-20 00:06:00,order_Q2017Xz,setl_S003,2026-08-23 13:12:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2018Ab,1749.00,INR,30.61,5.51,0.00,1712.88,netbanking,2026-08-20 00:14:00,2026-08-20 00:15:00,order_Q2018Xz,setl_S003,2026-08-23 13:14:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2019Ab,3290.00,INR,65.80,11.84,0.00,3212.36,wallet,2026-08-20 00:23:00,2026-08-20 00:24:00,order_Q2019Xz,setl_S003,2026-08-23 13:16:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2020Ab,1250.75,INR,28.77,5.18,0.00,1216.80,emi,2026-08-20 00:32:00,2026-08-20 00:33:00,order_Q2020Xz,setl_S003,2026-08-23 13:18:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2021Ab,799.99,INR,15.20,2.74,0.00,782.05,upi,2026-08-20 00:41:00,2026-08-20 00:42:00,order_Q2021Xz,setl_S003,2026-08-23 13:20:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2022Ab,2100.00,INR,44.10,7.94,0.00,2047.96,card,2026-08-20 00:50:00,2026-08-20 00:51:00,order_Q2022Xz,setl_S003,2026-08-23 13:22:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2023Ab,1499.00,INR,26.23,4.72,0.00,1468.05,netbanking,2026-08-20 00:59:00,2026-08-20 01:00:00,order_Q2023Xz,setl_S003,2026-08-23 13:24:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2024Ab,675.25,INR,13.51,2.43,0.00,659.31,wallet,2026-08-20 01:08:00,2026-08-20 01:09:00,order_Q2024Xz,setl_S003,2026-08-23 13:10:00,HDFCINBB202609003703,Razorpay
payment,pay_Q2025Ab,1890.00,INR,43.47,7.82,0.00,1838.71,emi,2026-08-21 00:05:00,2026-08-21 00:06:00,order_Q2025Xz,setl_S004,2026-08-24 13:12:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2026Ab,890.00,INR,16.91,3.04,0.00,870.05,upi,2026-08-21 00:14:00,2026-08-21 00:15:00,order_Q2026Xz,setl_S004,2026-08-24 13:14:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2027Ab,2599.00,INR,54.58,9.82,0.00,2534.60,card,2026-08-21 00:23:00,2026-08-21 00:24:00,order_Q2027Xz,setl_S004,2026-08-24 13:16:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2028Ab,719.00,INR,12.58,2.26,0.00,704.16,netbanking,2026-08-21 00:32:00,2026-08-21 00:33:00,order_Q2028Xz,setl_S004,2026-08-24 13:18:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2029Ab,999.50,INR,19.99,3.60,0.00,975.91,wallet,2026-08-21 00:41:00,2026-08-21 00:42:00,order_Q2029Xz,setl_S004,2026-08-24 13:20:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2030Ab,1699.00,INR,39.08,7.03,0.00,1652.89,emi,2026-08-21 00:50:00,2026-08-21 00:51:00,order_Q2030Xz,setl_S004,2026-08-24 13:22:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2031Ab,2349.00,INR,44.63,8.03,0.00,2296.34,upi,2026-08-21 00:59:00,2026-08-21 01:00:00,order_Q2031Xz,setl_S004,2026-08-24 13:24:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2032Ab,599.00,INR,12.58,2.26,0.00,584.16,card,2026-08-21 01:08:00,2026-08-21 01:09:00,order_Q2032Xz,setl_S004,2026-08-24 13:10:00,HDFCINBB202609004704,Razorpay
payment,pay_Q2033Ab,1299.00,INR,22.73,4.09,0.00,1272.18,netbanking,2026-08-22 00:05:00,2026-08-22 00:06:00,order_Q2033Xz,setl_S005,2026-08-25 13:12:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2034Ab,849.50,INR,16.99,3.06,0.00,829.45,wallet,2026-08-22 00:14:00,2026-08-22 00:15:00,order_Q2034Xz,setl_S005,2026-08-25 13:14:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2035Ab,2199.90,INR,50.60,9.11,0.00,2140.19,emi,2026-08-22 00:23:00,2026-08-22 00:24:00,order_Q2035Xz,setl_S005,2026-08-25 13:16:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2036Ab,499.00,INR,9.48,1.71,0.00,487.81,upi,2026-08-22 00:32:00,2026-08-22 00:33:00,order_Q2036Xz,setl_S005,2026-08-25 13:18:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2037Ab,1649.25,INR,34.63,6.23,0.00,1608.39,card,2026-08-22 00:41:00,2026-08-22 00:42:00,order_Q2037Xz,setl_S005,2026-08-25 13:20:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2038Ab,2799.00,INR,48.98,8.82,0.00,2741.20,netbanking,2026-08-22 00:50:00,2026-08-22 00:51:00,order_Q2038Xz,setl_S005,2026-08-25 13:22:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2039Ab,799.00,INR,15.98,2.88,0.00,780.14,wallet,2026-08-22 00:59:00,2026-08-22 01:00:00,order_Q2039Xz,setl_S005,2026-08-25 13:24:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2040Ab,3499.75,INR,80.49,14.49,0.00,3404.77,emi,2026-08-22 01:08:00,2026-08-22 01:09:00,order_Q2040Xz,setl_S005,2026-08-25 13:10:00,HDFCINBB202609005705,Razorpay
payment,pay_Q2041Ab,1190.00,INR,22.61,4.07,0.00,1163.32,upi,2026-08-23 00:05:00,2026-08-23 00:06:00,order_Q2041Xz,setl_S006,2026-08-26 13:12:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2042Ab,640.00,INR,13.44,2.42,0.00,624.14,card,2026-08-23 00:14:00,2026-08-23 00:15:00,order_Q2042Xz,setl_S006,2026-08-26 13:14:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2043Ab,1899.00,INR,33.23,5.98,0.00,1859.79,netbanking,2026-08-23 00:23:00,2026-08-23 00:24:00,order_Q2043Xz,setl_S006,2026-08-26 13:16:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2044Ab,925.50,INR,18.51,3.33,0.00,903.66,wallet,2026-08-23 00:32:00,2026-08-23 00:33:00,order_Q2044Xz,setl_S006,2026-08-26 13:18:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2045Ab,2499.00,INR,57.48,10.35,0.00,2431.17,emi,2026-08-23 00:41:00,2026-08-23 00:42:00,order_Q2045Xz,setl_S006,2026-08-26 13:20:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2046Ab,1399.00,INR,26.58,4.78,0.00,1367.64,upi,2026-08-23 00:50:00,2026-08-23 00:51:00,order_Q2046Xz,setl_S006,2026-08-26 13:22:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2047Ab,2290.40,INR,48.10,8.66,0.00,2233.64,card,2026-08-23 00:59:00,2026-08-23 01:00:00,order_Q2047Xz,setl_S006,2026-08-26 13:24:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2048Ab,559.00,INR,9.78,1.76,0.00,547.46,netbanking,2026-08-23 01:08:00,2026-08-23 01:09:00,order_Q2048Xz,setl_S006,2026-08-26 13:10:00,HDFCINBB202609006706,Razorpay
payment,pay_Q2049Ab,999.00,INR,19.98,3.60,0.00,975.42,wallet,2026-08-24 00:05:00,2026-08-24 00:06:00,order_Q2049Xz,setl_S007,2026-08-27 13:12:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2050Ab,1749.00,INR,40.23,7.24,0.00,1701.53,emi,2026-08-24 00:14:00,2026-08-24 00:15:00,order_Q2050Xz,setl_S007,2026-08-27 13:14:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2051Ab,3290.00,INR,62.51,11.25,0.00,3216.24,upi,2026-08-24 00:23:00,2026-08-24 00:24:00,order_Q2051Xz,setl_S007,2026-08-27 13:16:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2052Ab,1250.75,INR,26.27,4.73,0.00,1219.75,card,2026-08-24 00:32:00,2026-08-24 00:33:00,order_Q2052Xz,setl_S007,2026-08-27 13:18:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2053Ab,799.99,INR,14.00,2.52,0.00,783.47,netbanking,2026-08-24 00:41:00,2026-08-24 00:42:00,order_Q2053Xz,setl_S007,2026-08-27 13:20:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2054Ab,2100.00,INR,42.00,7.56,0.00,2050.44,wallet,2026-08-24 00:50:00,2026-08-24 00:51:00,order_Q2054Xz,setl_S007,2026-08-27 13:22:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2055Ab,1499.00,INR,34.48,6.21,0.00,1458.31,emi,2026-08-24 00:59:00,2026-08-24 01:00:00,order_Q2055Xz,setl_S007,2026-08-27 13:24:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2056Ab,675.25,INR,12.83,2.31,0.00,660.11,upi,2026-08-24 01:08:00,2026-08-24 01:09:00,order_Q2056Xz,setl_S007,2026-08-27 13:10:00,HDFCINBB202609007707,Razorpay
payment,pay_Q2057Ab,1890.00,INR,39.69,7.14,0.00,1843.17,card,2026-08-25 00:05:00,2026-08-25 00:06:00,order_Q2057Xz,setl_S008,2026-08-28 13:12:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2058Ab,890.00,INR,15.58,2.80,0.00,871.62,netbanking,2026-08-25 00:14:00,2026-08-25 00:15:00,order_Q2058Xz,setl_S008,2026-08-28 13:14:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2059Ab,2599.00,INR,51.98,9.36,0.00,2537.66,wallet,2026-08-25 00:23:00,2026-08-25 00:24:00,order_Q2059Xz,setl_S008,2026-08-28 13:16:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2060Ab,719.00,INR,16.54,2.98,0.00,699.48,emi,2026-08-25 00:32:00,2026-08-25 00:33:00,order_Q2060Xz,setl_S008,2026-08-28 13:18:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2061Ab,999.50,INR,18.99,3.42,0.00,977.09,upi,2026-08-25 00:41:00,2026-08-25 00:42:00,order_Q2061Xz,setl_S008,2026-08-28 13:20:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2062Ab,1699.00,INR,35.68,6.42,0.00,1656.90,card,2026-08-25 00:50:00,2026-08-25 00:51:00,order_Q2062Xz,setl_S008,2026-08-28 13:22:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2063Ab,2349.00,INR,41.11,7.40,0.00,2300.49,netbanking,2026-08-25 00:59:00,2026-08-25 01:00:00,order_Q2063Xz,setl_S008,2026-08-28 13:24:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2064Ab,599.00,INR,11.98,2.16,0.00,584.86,wallet,2026-08-25 01:08:00,2026-08-25 01:09:00,order_Q2064Xz,setl_S008,2026-08-28 13:10:00,HDFCINBB202609008708,Razorpay
payment,pay_Q2065Ab,1299.00,INR,29.88,5.38,0.00,1263.74,emi,2026-08-26 00:05:00,2026-08-26 00:06:00,order_Q2065Xz,setl_S009,2026-08-29 13:12:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2066Ab,849.50,INR,16.14,2.91,0.00,830.45,upi,2026-08-26 00:14:00,2026-08-26 00:15:00,order_Q2066Xz,setl_S009,2026-08-29 13:14:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2067Ab,2199.90,INR,46.20,8.32,0.00,2145.38,card,2026-08-26 00:23:00,2026-08-26 00:24:00,order_Q2067Xz,setl_S009,2026-08-29 13:16:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2068Ab,499.00,INR,8.73,1.57,0.00,488.70,netbanking,2026-08-26 00:32:00,2026-08-26 00:33:00,order_Q2068Xz,setl_S009,2026-08-29 13:18:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2069Ab,1649.25,INR,32.99,5.94,0.00,1610.32,wallet,2026-08-26 00:41:00,2026-08-26 00:42:00,order_Q2069Xz,setl_S009,2026-08-29 13:20:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2070Ab,2799.00,INR,64.38,11.59,0.00,2723.03,emi,2026-08-26 00:50:00,2026-08-26 00:51:00,order_Q2070Xz,setl_S009,2026-08-29 13:22:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2071Ab,799.00,INR,15.18,2.73,0.00,781.09,upi,2026-08-26 00:59:00,2026-08-26 01:00:00,order_Q2071Xz,setl_S009,2026-08-29 13:24:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2072Ab,3499.75,INR,73.49,13.23,0.00,3413.03,card,2026-08-26 01:08:00,2026-08-26 01:09:00,order_Q2072Xz,setl_S009,2026-08-29 13:10:00,HDFCINBB202609009709,Razorpay
payment,pay_Q2073Ab,1190.00,INR,20.83,3.75,0.00,1165.42,netbanking,2026-08-27 00:05:00,2026-08-27 00:06:00,order_Q2073Xz,setl_S010,2026-08-30 13:12:00,HDFCINBB202609010710,Razorpay
payment,pay_Q2074Ab,640.00,INR,12.80,2.30,0.00,624.90,wallet,2026-08-27 00:14:00,2026-08-27 00:15:00,order_Q2074Xz,setl_S010,2026-08-30 13:14:00,HDFCINBB202609010710,Razorpay
payment,pay_Q2075Ab,1899.00,INR,43.68,7.86,0.00,1847.46,emi,2026-08-27 00:23:00,2026-08-27 00:24:00,order_Q2075Xz,setl_S010,2026-08-30 13:16:00,HDFCINBB202609010710,Razorpay
payment,pay_Q2076Ab,925.50,INR,17.58,3.16,0.00,904.76,upi,2026-08-27 00:32:00,2026-08-27 00:33:00,order_Q2076Xz,setl_S010,2026-08-30 13:18:00,HDFCINBB202609010710,Razorpay
payment,pay_Q2077Ab,2499.00,INR,52.48,9.45,0.00,2437.07,card,2026-08-27 00:41:00,2026-08-27 00:42:00,order_Q2077Xz,setl_S010,2026-08-30 13:20:00,HDFCINBB202609010710,Razorpay
payment,pay_Q2078Ab,1399.00,INR,24.48,4.41,0.00,1370.11,netbanking,2026-08-27 00:50:00,2026-08-27 00:51:00,order_Q2078Xz,setl_S010,2026-08-30 13:22:00,HDFCINBB202609010710,Razorpay
payment,pay_Q2079Ab,2290.40,INR,45.81,8.25,0.00,2236.34,wallet,2026-08-27 00:59:00,2026-08-27 01:00:00,order_Q2079Xz,setl_S010,2026-08-30 13:24:00,HDFCINBB202609010710,Razorpay
payment,pay_Q2080Ab,559.00,INR,12.86,2.31,0.00,543.83,emi,2026-08-27 01:08:00,2026-08-27 01:09:00,order_Q2080Xz,setl_S010,2026-08-30 13:10:00,HDFCINBB202609010710,Razorpay
refund,rfnd_Q2071A9,-320.00,INR,0.00,0.00,320.00,0.00,upi,2026-08-25 10:00:00,2026-08-25 10:04:00,order_Q2071Xz,setl_S009,2026-08-29 15:03:00,HDFCINBB202609009709,Razorpay
refund,rfnd_Q2072B4,-175.50,INR,0.00,0.00,175.50,0.00,upi,2026-08-25 10:00:00,2026-08-25 10:04:00,order_Q2072Xz,setl_S009,2026-08-29 15:06:00,HDFCINBB202609009709,Razorpay
adjustment,adj_Q2901AD,85.00,INR,0.00,0.00,0.00,85.00,upi,2026-08-29 13:09:00,2026-08-29 13:13:00,,setl_S009,2026-08-29 15:09:00,HDFCINBB202609009709,Razorpay
adjustment,adj_Q3901UN,35.00,INR,0.00,0.00,0.00,35.00,upi,2026-08-31 16:50:00,2026-08-31 16:51:00,,setl_S011,2026-08-31 17:05:00,,Razorpay
payment,pay_Q2901OR,1575.00,INR,29.93,5.39,0.00,1539.68,upi,2026-09-02 11:15:00,2026-09-02 11:16:00,order_Q2901OR,setl_S011,2026-09-02 14:15:00,HDFCINBB20260911811,Razorpay
payment,pay_Q2902OR,1700.00,INR,32.30,5.81,0.00,1661.89,upi,2026-09-03 11:15:00,2026-09-03 11:16:00,order_Q2902OR,setl_S012,2026-09-03 14:15:00,HDFCINBB20260912812,Razorpay
payment,pay_Q2077DUP,2499.00,INR,52.48,9.45,0.00,2437.07,card,2026-08-27 00:41:00,2026-08-27 00:42:00,order_Q2077Xz,setl_S010,2026-08-30 13:20:00,HDFCINBB202609010710,Razorpay
payment,,500.00,INR,10.00,1.80,0.00,488.20,upi,NOT-A-DATE,2026-09-02 10:06:00,order_QBAD002,setl_S099,2026-09-03 12:00:00,HDFCINBB20269999,Razorpay
refund,rfnd_Q2988L,-250.00,INR,0.00,0.00,250.00,0.00,card,2026-08-28 12:00:00,2026-08-28 12:01:00,order_Q2988REF,setl_S010,2026-09-01 14:00:00,HDFCINBB202609010710,Razorpay
